,purpose,amount
7631,travel/hotel,435.19
2918,fair booth,435.0
3342,fundraiser tournament,435.0
47,19 radio ads,435.0
328,additional signs,434.57
4092,letterhead / envelopes,434.56
1297,campaign outing,434.33
4656,merchandise for campaign,434.0
3831,insurance premium,434.0
807,biden stickers and buttons,433.89
5445,poll signs,433.86
7510,thank you cards,433.59000000000003
1385,campaign signs deposit,433.4
1360,campaign sign balance,433.2
2518,door hangers and t-shirts,432.86
5303,phones ,432.47
1889,computer,432.14
7331,t posts and tools,432.07
1001,campaign  watch party pastry ,432.0
7524,third thursday event fee,432.0
4695,mileage q4 #1,431.52
410,advertising - door hangers,431.48
4596,meeting food and drinks,430.94
5805,printing material ,430.92
8170,yard sign supplies,430.82
7516,thank you door hangers,430.69
5549,postage-sample ballots,430.64
6786,shipping flyers,430.3
8069,website fees,430.3
2376,directory ad,430.0
7888,voter data / mailing list info,430.0
5807,printing materials,429.64
7481,text messages to voters,428.56
5556,postage/shipping,428.28
4174,lit piece ,427.76
6064,quick service postage,427.43
5643,print banners,426.83
949,bussiness cards,426.54
150,4x6 postcards,425.97
1177,campaign internet,425.48
7993,web promotion ,425.0
7596,transportation (legislative meetings),425.0
7821,video services,425.0
4809,newsaper ads,425.0
5323,photography fees & prints,425.0
2222,development of campaign message,425.0
577,annual meeting,425.0
2801,event refreshments for hdcc event,425.0
2322,dinner meeting,424.63
7291,supplies for signs,424.0
4853,newspaper political advertising,423.9
7840,vinyl sign,423.63
4328,mailer postage,423.4
4088,letter/postage/envelopes,423.39
2016,convention,422.92
4743,monthly fee,422.88000000000005
7407,tablet/equipment,421.77
275,ad for campaign,421.75
66,2019 1120-pol fit irs eftps,421.0
6906,signs and palm cards,420.85
4900,odofest food,420.83
6849,sign posts for campaign posters,420.28999999999996
5947,prop c waiver cards,420.12
7854,volunteer appreciation,420.1
39,12 radio ads,420.0
81,2020 campaign kickoff catering,419.43
8146,worker compensation insurance,419.0
4980,online campaign ad,419.0
7839,vinyl prints of photos,418.67
1154,campaign flyers/cards,418.43
3986,"labels, flag pins, key chains, candy",417.34
3057,fish fry catering for meeting,417.0
5237,payrolll,416.9
6841,sign poles,416.61
1903,computer tech,416.5
1720,child support withholding,415.85
242,act blue,415.76
5233,payroll taxes - mo unemployment tax,415.53
5081,paid letter to editor,415.5
2810,event signage,415.11
1026,campaign advertising/ paper,415.0
8099,website/digital services,415.0
2412,domain name & hosting,414.11
1073,campaign celebration event ,413.8
4880,november legal services and expenses,413.04
3780,hrcc sponsorship items,413.0
5978,purchase banners and signs,413.0
3527,golf tournament ,412.33
7329,t posts,412.07
5558,postal services,412.0
8104,weekly tv show to constituents,411.6
3586,graphic design/banner,411.5
64,2000 4 x 6 push cards,411.3
7653,truck advertising,411.28
6557,rep gear,411.05999999999995
4710,milleage,410.15999999999997
7620,travel for polling meeting,410.12
5044,p o box,410.0
7849,vista print for flyers,409.88
7886,voter contact/text messaging,409.6
4789,newepaper ad,409.5
4707,"mileage, dining, hand warmers",409.19
2762,event expense:  food & beverage,409.18
4720,missouri payroll tax,409.0
3840,internet ,408.92
1140,campaign fees,408.6
5108,pamphlets ,408.51
2522,"door hangers, postcards, business cards ",408.05
2902,facility rent april-june,408.0
2906,facility rent july-sept,408.0
533,airfare for ncsl mtg,407.96
7352,t-posts,407.65
33,100 yard signs/stands,406.68
3694,helped sponser the cattlemen's dinner,406.15
1625,cattlemens sponsorship,406.15
7739,utilites,406.02
76,2019 tax payment,406.0
3693,helium for balloons,405.68
7744,utilities at temp office,404.86
5293,phone tree,404.86
7568,tournament prizes,404.69
452,advertising fans ,404.67
7163,staples-mckinley day letter printing & postage,403.61
2165,democratic caucus event,403.33
7891,voter data services,403.29
5362,platform fee,403.14
6712,screen printed t-shirts,403.0
1169,campaign handouts ,401.96
1452,campaign telephone,401.5
1652,cell phone service,401.02
6210,reimb bristol seafood for staff meeting,400.87
7574,town hall meeting,400.42
5581,"postcards, door hangers and pushcards for megan ma",400.3
589,annual steak fry ,400.0
4936,office services,400.0
2702,entertainment at banquet,400.0
446,advertising consultant,400.0
7042,southern legislative conference,400.0
2704,entertainment for fund raiser,400.0
4765,musician,400.0
7866,volunteer organization and comms design,400.0
615,"art set up, printing & shipping of vinyl bilboard ",400.0
3932,july/august admin fee,400.0
7947,watch party buffet,400.0
2710,entry fee sheriff basketball team,400.0
6564,repayment for venue deposit,400.0
1914,conference fee,400.0
3837,intern gas cards,400.0
742,banner suite development for ip targetting campaig,400.0
3635,"hall rental, food & beverage-fundraiser",400.0
2313,dinner auction item,400.0
6628,returned contribution ,400.0
6745,sept oct admin fee,400.0
1950,consulting and digital services,400.0
5619,pries - decoration contest ,400.0
8038,website / media,400.0
3922,july & august pac admin fee,400.0
3717,hospital supplies,400.0
3939,june and july admin fee,400.0
7256,subscription upgrade,400.0
6520,rent for republican headquarters,400.0
3921,july & august admin fee,400.0
3920,july & aug pac admin fees,400.0
7202,steak fry,400.0
4410,mar & apr admin fees,400.0
4517,meals for christian hospital,400.0
6391,reimbursement for 200 lawn signs,400.0
4403,managing mec reports in 2020,400.0
2015,conulting,400.0
3302,fundraiser - food & catering,400.0
6181,refund of gala expenses,400.0
6004,purchase of large aluminum cups,400.0
2948,feb/march admin fee,400.0
649,august & sept pac admin fee,400.0
2959,fee for 2 to participate in mo dem state comm,400.0
3892,irish man and woman of the year event sponsor,400.0
59,20 trump signs 4x8,400.0
8084,website redesign,400.0
2962,fee for service,400.0
4185,literature flyers,400.0
3940,june and july pac admin fee,400.0
3542,golf tournament/ charity,400.0
7294,supplies for truffle fundraiser,400.0
557,anniversary gala sponsorship,400.0
2057,cpa expenses,400.0
2932,fair sponsor,400.0
4473,may & june admin fees,400.0
3286,fund raiser ,400.0
1050,campaign billboard,400.0
4165,lit drop,400.0
4874,nov/dec admin fee ,400.0
3019,filing mic reports,400.0
3200,food for senators,399.9
2469,donation meals on wheels,399.62
1664,chairs/tables rental - supporter appreciation,399.55
5618,press release services,399.0
8201,"yard signs, large signs, business cards",399.0
8149,wrap campaign vehicle,398.81
3260,framing pictures for office,398.04
7211,stickers for newspaper,397.87
3160,food for election night event ,397.44
1407,campaign stationary,396.33
6785,shipping and sales tgax,396.13
6087,radio ads - dockins bradcast group,396.0
376,advertise for county candidates,396.0
4259,lunch payment,395.48
2774,event hall for fundraiser,395.0
8189,yard signs for advertising ,395.0
73,2019 state tax return,395.0
1850,community event ,395.0
6089,"radio ads for foster, stark and amendment 3",395.0
4002,large advertising signs,395.0
8199,yard signs with stakes,394.84
8192,yard signs for trump,394.8
7724,unemployment insurance,394.15
2192,derges labels,393.7
5000,online service,393.17
1064,campaign calenders/mailing,392.38
2264,digital camera,392.03
3826,insurance - liability,392.0
4348,mailers and envelopes,391.67
1460,campaign travel expense,391.6
1206,campaign literture,391.0
1509,campaing materials,390.78
7901,voter guide - advocating against amendment 3,390.73
4007,large political signs,390.61
7344,t-post / signs,390.44
1147,campaign float decorations,390.36
3050,fine for late notice filing,390.0
4676,"microcenter, docusign, thai 202, zoom, gramophone",390.0
7746,utilities for republican headquarters,390.0
1575,car rental for caucus meeting,389.69
2708,entertainment/gift card,389.58
544,amend 3 yes signs,389.12
2377,directory listing,389.0
673,awards for christmas party,388.94
7940,walmart - field supplies reimbursement,388.82
4514,meals expense,388.26
3673,headquarter supplies,388.15
2466,donation item for shop with a cop,387.61
1774,close account,387.61
5027,other disbursements (fundraising costs),387.06
1167,campaign handout design & print,387.05
3619,gun for raffle,387.0
5468,polo shirts and business cards,386.9
3926,july credit card fee's ,386.81
2487,donation to their scholarship fund,386.53
3145,food for an event,386.5
4361,mailing & printing services,386.47
7332,t posts for signs,386.34000000000003
7630,travel to hrcc cuasus motel & meals,385.94
7347,t-post for hanging large signs,385.84
6829,sign hardware,385.73
3191,food for poll workers march 10,385.44
2321,dinner for supporters,385.0
4603,meeting place rent,385.0
353,ads for lincoln day,384.0
2619,election magnets,384.0
6714,seantors dinner lincoln day,383.91
3120,food & beverages,383.53999999999996
5936,promotional materials - bags and fans,382.95
2416,domain registration,382.03999999999996
6781,sheridans lake catering - event expense,382.0
280,ad for fund raiser,381.6
6351,reimburse:print mats-walmart;postage usps,381.57
3189,food for poll workers,381.33000000000004
4827,newspaper ads ,381.2
629,auction donation,380.96
6899,signs and bumperstickers / general ,380.87
6055,pushcard,380.32
7745,utilities for hq,380.09
7641,triva sponsor,380.0
2808,event security,380.0
1666,chamber banquet,380.0
3750,hotel stay,379.76
7559,toner,379.34
3734,hotel for memphis -panelist,379.05
6199,reim exp - meals - panera bread,379.01
434,advertising / newspaper  #1040,378.75
4096,letters,378.47
7386,t-shirts/hats,378.23
7965,web,378.0
7225,storage for club items,378.0
460,advertising in newsletter,378.0
1976,contact management,378.0
5651,print mailer post card,377.5
7449,telephone expenses,377.28000000000003
5322,photography fee,377.04
660,auto wrap,377.04
244,act blue fee,376.84
6873,signage ,376.54
1740,christmas event,375.69
4968,office-xmas cards,375.29
3422,funeral flowers,375.01
7316,supporter dinner supplies,375.0
6145,re-emburse for prize for fund raiser,375.0
425,advertising - sign install,375.0
813,big signs,375.0
5579,postcards for campaign,375.0
4683,milage,375.0
2658,email blast service,375.0
522,advertsising,375.0
4825,newspaper add,375.0
1363,campaign sign on digital billboard,375.0
4594,meeting facilities,375.0
4111,lighting,374.85
841,bldg maint,374.34
3958,keyboard,374.22
3559,gotv advertising,374.0
4954,"office supplies, ink, paper, envelopes, etc",373.13
5431,political signs - printing,373.12
2783,event materials,372.64
6655,room and beverage payment,372.33
7018,social media mgr,372.0
1305,campaign phone ,371.76
3154,food for children visiting capitol - dominoes,370.92
1461,campaign travel fuel,370.88
4963,office supply printing ,370.85
6735,senate fundraiser dinner,370.6
4955,"office supplies, travel",370.5
5699,printer cartridges/stamps/sign posts/supplies,370.07
7781,venue for election night event ,370.0
7416,tax return prep,370.0
766,basket purchase,370.0
6868,sign wires,369.28000000000003
7697,turtle creek postcards,369.26
4653,mental health meeting supplies,368.95
3335,fundraiser social hour exp.,368.83
1205,campaign literaure,368.43
706,bank charges 3/17 to 2/20,368.0
2411,domain name,367.99
4606,meeting rental,367.93
3533,golf tournament food,367.31
414,advertising - mailers,367.11
3313,fundraiser donation,367.0
4816,newspapaer ad,367.0
4080,letter for print,366.5
1159,campaign fundraiser,366.41999999999996
6463,reimbursement- buchanan county dems mileage,365.98
7478,text message,365.84
3998,laptop computer purchased for campaign operations,365.49
6297,reimburse for office depot for office suppli,365.17
2055,cover auction expenses,365.04
759,banquet sponsorship/event items,365.0
5615,prepare 1120 pol,365.0
206,accountant ,365.0
113,3 radio ads,365.0
4371,mailing for soup supper,364.95
3241,food/drinks,364.6
3181,food for meeting,364.42
2468,donation letters,363.95
7368,t-shirt purchase,363.64
355,ads for meet the candidates,363.5
7301,supplies to hang signage,363.25
5294,phone tree bill,362.57
6960,signs07/01/2020,362.14
4685,mileage 2q,362.05
3201,food for senior brunch,361.99
4889,oct-dec mileage,361.34
4121,lincoln day banquet desserts,361.25
5550,postage/ supplies (signs/ office/ fundraiser),361.01
1288,campaign newspaper ads,361.0
2880,facebook adversting,360.89
354,ads for lincoln day event,360.88
4449,mask,360.86
646,auditing fees,360.19
7919,voter registration support,360.0
4726,mo lincoln days,360.0
6022,purchase raffle item,360.0
943,business cards/signs,360.0
5383,po box rental fee,360.0
6499,rent - parking spots,360.0
5276,phone bank operation,360.0
7358,"t-posts, zipties, hammer",359.5
3377,fundraising expenditure,358.09
5476,post card,357.69
3469,gift card for door prize,357.54
6276,reimburse for caseys for fuel,357.51
7, office utility,357.18
5583,"postcards, magnets",357.07
6432,reimbursement for sign purchase,356.89
5894,processing fees/online contributions,356.13
4991,online donation processing fee,356.1
1344,campaign rental car.,356.0
3848,internet for hq,356.0
6068,rack cards ,355.88
1104,campaign dign,355.83
1378,campaign signs & frames,355.72
99,25 yard signs,355.55
6076,radio ad production ,355.48
4756,mtg city legislators in jeff city,355.08
6971,slc reimbursement,355.0
6402,reimbursement for contribution,355.0
1286,campaign napkins,354.34
303,ad materials,354.25
6388,reimbursement cooking supplies and decoration ,354.1
4237,logo items,353.94
4228,lodging reimbursement,353.39
4256,lunch for senate appropriations staff & committee,352.58
2940,fans for parade,352.23
8166,yard sign stacks,352.07
2620,election mailer,351.83
3965,kickoff rally,351.74
7354,t-posts for banners,351.38
7472,test messages,351.28
2544,drinks & office snacks,351.13
6477,reimbursement: printing and software,350.89
3883,invites for fish fry,350.77
3886,ipad keyboard,350.52
3223,"food, advertising",350.0
203,account bookkeeping,350.0
2183,deposit for utilities,350.0
6462,reimbursement workers ,350.0
7392,table donation,350.0
3309,fundraiser av,350.0
2914,fair ad,350.0
6078,radio ad sponsorship,350.0
2806,event rental/food certificate,350.0
1691,charity donation,350.0
2201,design for billboard,350.0
6121,radio taping,350.0
3550,google ads,350.0
4883,nra foundation fundraiser,350.0
3157,food for clergy breakfast,350.0
2898,facility fee for fundraiser,350.0
1528,candidate filing fee,350.0
63,200 yard signs,350.0
4525,meals for seniors,350.0
494,advertising-fair book,350.0
4198,live entertainment campaign party,350.0
273,ad for agency picnic,350.0
2742,event attendance,350.0
8116,wild apricot soft ware support,350.0
6629,returned deposit,350.0
2701,entertainment - mc,350.0
6669,sacba trivia sponsorship,350.0
7802,video calling,350.0
6721,security services,350.0
7645,trivia night sponsorship,350.0
7831,vidoe,350.0
7939,wall of honor,350.0
576,annual gala sponsorship,350.0
6436,reimbursement for stamps,350.0
642,audio for announcement video,350.0
2749,event cancellation fee,350.0
1913,conference dues,350.0
4682,mike hartley campaign picnic ck012,350.0
1538,candidate yard signs,349.42
155,4x8 signage for election day,349.21
4074,legislator conference,349.0
5086,paint for signs,348.98
6736,senate lunch start of session,348.89
5627,print  materials/yard signs,348.74
7570,tournament supplies,348.67
7558,tom meyer 16'x24' signs,348.32
4693,mileage q1 #1- see addendum,347.76
2878,facebook ads; walmart supplies for signs,347.75
7125,staff meal,347.71000000000004
739,banner sign for headquarters,347.5
4077,legislator reception catering,347.5
4134,lincoln day lodging,347.37
35,100th general assembly ring,346.57
5270,phone at headquarters,346.0
1734,christmas cards and mailing,345.5
3640,hand fans,345.39
4840,newspaper advertisments,345.38
5153,park rental,345.0
7231,storage unit for 1 year,345.0
3819,ink pens,344.94
2601,election day,343.08
2748,event booth supplies,342.7
4696,mileage q4 #2,342.43
8127,window stickers,342.09000000000003
1254,campaign material ,341.90999999999997
5733,printing - post card,341.36
456,advertising for fundraiser,341.25
7629,travel tickets,341.2
7599,transportation reimbursement for rental car,340.76
8159,yard sign order,340.52
3135,food and mileage,340.4
8148,workspace,340.29
6719,security for event,340.0
147,4x4 election signs,340.0
768,basketball team sponsor,340.0
4127,lincoln day dinner ads,340.0
7432,tech support,339.92
1176,campaign housing ,339.9
7219,sticky notes,339.72
1386,campaign signs labels,338.91
950,button maker,338.9
5678,printed invitations for gladstone meet & greet,338.44
4997,online order of postcards flyers signs & shirts,338.36
3207,food for town hall forum,337.78
5295,phone wifi,337.75
1688,charity auction,337.5
1522,can coolies,337.5
869,booth sponsor,337.0
1331,campaign promo handouts,336.86
7161,"staples for printing, envelopes, postcards",336.78
6377,reimbursement - senate colleague funeral mileage,336.4
6905,signs and notes,336.18
7254,subscription fee,335.98
2408,domain,335.76
7906,voter information,335.21999999999997
6915,signs and stickers,335.20000000000005
379,advertise for rep candidates,335.0
2861,face masks production,335.0
5452,poll worker training,335.0
404,advertising              .,335.0
4983,online contribution processing ,334.96
6573,republican caucus,334.76
3620,gun purchase,334.56
1451,campaign tee shirts,334.52
4527,meals over $100,334.2
5846,"printing- exec dir. stationery, fcd invitations, ",334.06
5498,post office box fee,334.0
7434,technology,333.78
2389,district courthouses photos,333.72
6840,sign parts / t-posts,333.57
4082,letter heads,333.45
7723,unemployement security payment,333.43
4645,membership picnic food,332.93
7376,t-shirts and banner,332.87
7044,speaker travel,332.81
623,attend caucus conference,332.69
6366,reimbursement - clay county dems mileage,332.34
6445,reimbursement for website support,332.17
905,"brochures, yard signs",331.74
2784,event materials printing,331.66
542,amazon-chairs for event seating reimb,331.62
7276,supplies - signs & absentee list,331.25
2077,credit card service fee ,331.06
6801,shirts and stickers,331.0
2617,election get-together,330.65999999999997
8144,work performed,330.65
596,app for data,330.21
5434,political stickerts,330.0
7183,state party dues,330.0
5546,postage stamps/birthday cards,330.0
507,advertising/hole sponsor,330.0
2739,event ad buy,330.0
3303,fundraiser - meal,329.81
2089,custom logo campagian handouts,329.24
7199,stationery and envelopes,329.02
110,2x4 color ad ,329.0
641,audio equipment for webex hearings,328.99
3653,handout flyers,328.8
6970,slate ad in centralia fireside guard,327.75
4692,mileage per diem 569 miles july-september,327.18
7754,valentine day candy for senior citizens,327.05
7174,state income taxes,327.0
4384,mailing stamps,326.5
5750,printing advertising,326.4
6414,reimbursement for lodging for 12/19 rodel seminar,325.66
5218,payroll service,325.59999999999997
8103,weed eater for signs,325.47
6197,reiburse for trump merchandise,325.23
4823,newspaper ad acct#671694,325.0
160,"5,000 handbills",325.0
0, accounting,325.0
2200,design fee,325.0
2627,election pamphlets,325.0
1264,campaign materials design,325.0
6243,reimb website (miller group),325.0
633,auction purchase,325.0
4641,membership fee/dinner,325.0
6929,signs with metal hanger,325.0
3537,golf tournament sponsor,325.0
1747,christmas message for radio,324.91
5026,otelco for web page & web hosting,324.9
7188,state unemployment tax,324.8
4125,lincoln day decorations,324.68
7668,trump flags,324.45
2730,equipment ,324.31
8209,yardsignwholesale.com-reimburse for signs,324.0
8171,yard sign wholesale - reimburse for signs,324.0
5405,political campaign website and 12 month membership,324.0
3320,fundraiser food ,323.89
5940,promotional signage,323.87
5166,party rental supplies,323.82
5551,postage/hermann cards,323.75
7260,summer caucus expense,322.76
5925,promotional decals,322.45
4657,merchandise purchased,322.26
400,advertisin,322.0
2722,envelopes and remittance envelopes,321.91
7124,staff lunch,321.04
1749,christmas parade supplies,320.67
1895,computer equpiment,320.6
5580,postcards for direct mail,320.59
3866,interpreting services,320.0
6120,radio sprots,320.0
1852,community fundraiser,320.0
6384,reimbursement ability sponsor,320.0
4723,missourian ad,320.0
1805,cole county lincoln day ,320.0
6010,purchase of sign template,320.0
5993,purchase n85 masks,320.0
7181,state of the county/membership,320.0
23,10 plaques,319.82
3084,flowers for senate retirement ceremony,319.48
5152,park central development-event tickets reimb,319.48
6323,reimburse postage (usps),319.0
1708,check stock,318.94
1091,campaign consulting & planning,318.75
1572,car magnetic,318.3
7410,tax filing software,317.65000000000003
5949,property taxes,317.6
5449,poll worker meals,317.42
2223,device service,317.27
1197,campaign literature ,316.77
485,"advertising, booth expense, campaign materials",316.75
1577,car signs,316.53999999999996
5592,postgage for mailers,316.27
2542,dri fits,316.03
1649,cell phone and wifi,315.0
4386,mailing voters,315.0
7874,volunteers shirts,314.94
1434,campaign supplies/advertising,314.57
4257,lunch meeting,314.47
2977,fence posts / sign supplies,314.26
5346,"pizza, lunch for golfers",314.23
2567,dues and booth,314.0
6792,shirt printing,313.94
6847,sign posts and zip ties,312.62
6403,reimbursement for flight to washington dc,312.59
6103,radio advertizing,312.0
4902,office,312.0
4803,news paper fliers and delivery,312.0
7772,vehicle property tax,311.94
4958,office supplies/food/postage,311.71
475,advertising paper and web,311.5
6760,service sunday,311.36
7447,telephone equipment,311.12
5631,print - door hangers,311.11
1319,campaign po box,311.0
833,billboard usage,311.0
1818,committee celebration/watch party,310.9
1736,christmas dinner gift certificates,310.5
3778,hrcc hotel room,310.28
4234,logo and palm card design,310.0
3865,interpreter ,310.0
117,310.00,310.0
3864,interpertation services,310.0
7497,texting voter outreach,310.0
2883,facebook advertising - aggregate,310.0
2680,embroider shirts/masks,309.8
7693,tshirts for poll workers,309.56
7752,utilties,309.4
3371,fundraising database management,309.34000000000003
1993,contribution event,309.0
3779,hrcc meeting lodging,308.76
3755,house caucus event,308.76
3728,hotel for caucus,308.76
4224,lodging for seminar/classes,308.76
1208,campaign lodging hrcc caucus,308.76
8177,yard signs - biden,308.47
8178,yard signs - galloway / no on 3,308.47
4960,office supplies/trump memorabilia,308.35
7790,veto session lodging,308.16
4521,meals for meeting,308.0
6397,reimbursement for campaign mileage october,307.41
6858,sign riders,307.1
2586,education conference/duplicate reimbursement,307.1
6787,shipping service,307.06
5836,printing stickers and signs; walmart supplies,306.81
5722,printing - cards,306.8
3478,gift to close out campaign,306.73
4005,large contribution late fee,306.45
4865,note cards,306.4
1992,contribution envelopes,306.2
7167,start account for new committee,306.18
4701,mileage reimbursement - county clerk's conference,306.13
3659,hat's,306.0
1209,campaign logo t-shirts ,305.71000000000004
6576,republican picnic,304.74
1232,campaign management - april,304.0
5797,printing letterhead & envelopes ,303.94
1000,campaign ,303.82
4728,mo republican caucus,303.68
4819,newspaper ad ,303.6
1441,campaign t- shirts,303.44
3136,food and supplies for event,303.19000000000005
1004,campaign - ink pens,302.84
4956,office supplies-printer ink,302.08
4442,marketing-internet,301.97
4377,mailing material,301.93
3430,gala award,301.62
5404,political campaign meeting,301.38
5540,postage reimbursement,301.25
5861,printing/mailers,301.06
8125,window decals for vehicles,301.03
1181,campaign kickoff event,300.27
911,brunch meeting,300.2
1684,charitable gift,300.0
6352,reimbursed - office exp - cell phone stipend,300.0
1672,chamber membership and expo ,300.0
2059,create web site,300.0
2094,dandurand video testimonial processing,300.0
2476,donation to 4th of july parade-advertising,300.0
2481,donation to group for leadership conference attend,300.0
5114,paper ad june,300.0
3425,future event,300.0
2736,event ,300.0
2482,donation to help during covid-19 crisis,300.0
3434,gala sponsorship,300.0
2056,coyote hill (pumpkins) contribution,300.0
6060,q2 email,300.0
1624,cattlemen's dinner ,300.0
3464,geo frencing,300.0
3485,girls state application fees,300.0
12,'kickin cancer' sponsorship,300.0
6720,security for holiday party,300.0
2578,economic devlepment ,300.0
3514,golf hole sponsorship,300.0
8226,youth scholarship sponsorship,300.0
8216,yearly web hosting fee,300.0
1884,compliance support,300.0
2738,event ad and tickets,300.0
5175,pay for fish,300.0
3288,fund raiser cancel refund,300.0
2893,facebook tech support,300.0
2910,facility rental ,300.0
6151,reception hall for campaign,300.0
7056,sponsor ad,300.0
7053,sponsership,300.0
3206,food for town hall,300.0
2105,data center access,300.0
1823,committee registration - kansas,300.0
6186,refund over payment for signs,300.0
2925,fair donation,300.0
5168,patch stickers,300.0
6456,reimbursement of steak fry auction item ,300.0
1863,complaince,300.0
2886,facebook boost ads,300.0
90,2020 tax filings ,300.0
2451,donation for christmas for kids,300.0
6546,rental fee payment - fcd,300.0
1725,chili supper event space reservation,300.0
6307,reimburse for signs,300.0
1738,christmas donation,300.0
1878,compliance cost,300.0
2400,dj services,300.0
6283,reimburse for food for watch party,300.0
6545,rental fee,300.0
109,2x room chg + dec meals/tab,300.0
88,2020 registration,300.0
1921,conference/speaking event,300.0
6417,reimbursement for merchandise purchases,300.0
7106,sponsorship/signage,300.0
2097,data access,300.0
7104,sponsorship/ad,300.0
6509,rent for caucus,300.0
5329,photos/branding,300.0
1503,campaigning sponsorship,300.0
619,artwork and signs,300.0
229,accounting october,300.0
638,auction tickets,300.0
4412,marceline school scholarship,300.0
228,accounting november 2019,300.0
227,accounting may 2020,300.0
226,accounting march 2020,300.0
284,ad for rally,300.0
5474,portal set up fee,300.0
8076,website landing page,300.0
225,accounting june 2020,300.0
570,annual dinner sponsorship ,300.0
224,accounting july 2020,300.0
218,accounting february 2020,300.0
7633,treasures mec reports/checking account/meetings,300.0
3909,january accounting,300.0
8083,website publish ,300.0
230,accounting september,300.0
784,bereavement,300.0
231,accounting september 2020,300.0
791,beverage sponsor lincoln day,300.0
3962,kickoff bar deposit ,300.0
3968,kinloch community cleanup,300.0
7537,ticket purchase to annual mokan awards dinner,300.0
7550,tickets to the regional champions award dinner,300.0
4182,literature and mail design ,300.0
848,book keeping,300.0
8121,wilson testimonial video processing,300.0
873,bought coffee for customers,300.0
4156,linn county r-1 school scholarship,300.0
909,brookfield school scholarshp,300.0
8113,whipple video testimonial processing,300.0
7893,voter database access,300.0
217,accounting december 2019,300.0
3807,information rally,300.0
441,advertising billboard,300.0
5994,purchase of 60 yard signs,300.0
3554,gop data center access,300.0
5337,pieper video testimonial processing,300.0
4643,membership for acdc rep. to state committee,300.0
7999,web site - reform,300.0
3571,gower days ad,300.0
1507,campaigns signs,300.0
5324,photography for event,300.0
7989,web page build,300.0
3589,graphic work,300.0
4604,meeting refreshment,300.0
436,advertising / radio,300.0
4488,meadville school scholarship,300.0
5931,promotional items - buttons,300.0
3615,gross video testimonial processing,300.0
3674,headquarter utilities deposit,300.0
3782,hrcc workshop,300.0
215,accounting august 2020,300.0
214,accounting april 2020,300.0
506,advertising/contribution,300.0
3791,imo's pizza for committee meeting at boe ,300.0
499,advertising-radio,300.0
4547,media & public relations,300.0
7968,web build,300.0
5646,print design expenses,300.0
1332,campaign promo video,300.0
481,advertising sponsor,300.0
7948,watch party decor,300.0
8058,website developement,300.0
6476,reimbursement: mailchimp subscription,299.96
4246,lunch for caucus meeting,299.95
1930,constituent meal,299.93
7951,watch party food and drink,299.75
3177,food for meet & greet,299.24
336,adds,299.0
314,ad-event announcement,299.0
7722,underwriting pledge,299.0
5606,pre- addressed envelopes,298.75
5632,print 1000 walk cards,298.38
1308,campaign phone bank ,298.0
4585,meeting ,297.96
3548,golf towels,297.63
5483,post card stamps,297.5
4336,mailer processing fee,296.97
6464,reimbursement- kansas city lunch mileage,296.96
6396,reimbursement for campaign mileage,296.83
1439,campaign support group dinner,296.75
7652,trophies for winterfest event,296.6
1267,campaign meal reimbursement,296.23
1995,contribution fees,296.02
2528,door knob bags,295.79
7263,summer conference,295.76
4582,meet the candidate,295.49
6258,reimburse campaign stickers,295.34
5962,publication ad,295.0
7180,state of the county breakfast,295.0
5354,plant seed inserts,295.0
6870,"sign, window perf sign and sticker for pd for//",294.71
5192,payment for t-shirts,294.59000000000003
2536,double tree hotel-travel-fr expense,294.57
3412,fundraising supplies expense,294.3
2594,elected official dinner ,293.79
4953,"office supplies, ink",293.22
1530,candidate materials,292.72
56,2 nights hotel stay for lincoln days event,292.62
3834,interest added to outstanding loan amount,292.57
2404,documented mileage expense reimbursement,292.43
518,advertizing placcards,292.39
2556,due cards,292.17
1762,class reunion,292.15
6519,rent for portable toilets and washing station,292.0
2623,election night party,292.0
3678,headquarters sign,291.06
98,25 buffet for line workers,290.75
4691,mileage marshall & columbia,290.68
5644,print brochures,290.58
4032,law enforcement meals,290.57
6537,rental,290.51
6707,school visit to capitol,290.37
2862,face tattoos,289.71
2454,donation for delta childnren home,289.0
7611,travel and meetings,288.96
6821,sign and post cards,288.82
1775,close acct-donation made to scholarship fund,288.61
7614,travel expense mileage,288.6
4829,newspaper ads for 2 weeks,288.0
5046,p o box rental,288.0
7963,"water, sports drinks and snacks for election day",287.66
6257,reimburse campaign apparel,287.5
4957,office supplies/checks,286.72
5847,printing- handbills,286.61
2716,envelopes and business cards,286.22
1008,campaign accounting,286.2
6769,set up website hosting,286.08
3017,filing for office,285.56
7339,t stakes,285.32
7470,termination of committee,285.0
4795,news media ad run,285.0
8030,websit,285.0
1579,card charge,285.0
5596,posts for campaign signs,284.85
2410,domain hosting,284.84
4227,lodging in jefferson city,284.52
1483,campaign website ,284.51000000000005
7280,supplies for golfing fund raiser ,284.47
1261,campaign materials ,282.87
6579,republican summer caucus,282.76
4212,lodging (legislative meetings),282.76
7609,travel accommodations,282.76
4231,lodging-summer caucus ,282.76
622,attend caucus,282.75
3006,file storage,282.0
7554,tires for trailer,281.9
4098,letters and cards,281.88
6799,shirts and magnets,281.72
144,4th of july picnic,281.69
4659,merchant fee's,281.46
7095,sponsorship items,281.06
7170,state and us dues,281.0
5584,postcards/business cards,280.88
3070,flags for trump,280.46999999999997
2036,copies/postage,280.4
